age_range,gender,residence_type,parent_occupation,income_range,education_completed,medium,board,academics,preferred_stream,college_tier,engineering_stream,suitable_domain,coding_skills,aim_domain,courses_done,intenships_done,work_experience,higher_studies,study_abroad,study_abroad_country,higher_study_preparation,suitable_job,type_of_company,focus_type,ctc,person_type,suitable_work_culture,resembled_path,preferred_work_culture,interest_in_teaching,personality,interest_in_finance,relationship_status,career_1,career_2,career_3
18-22,Male,Urban,White collar,2 - 5 Lakh,Diploma,English Medium,CBSE,Not satisfying,Science and Technology / Engineering,Tier 4 local private colleges,CS / IT,Backend Development,Very basic,Project / Product Management,"Nope, have not started yet","Not yet, but I keep on Applying","Nope, just studying","kind of Confused, not sure","Depends upon the country, university and scores",UK / Germnany or some Europian country,Searching consistently,Private Job,Service based / Consultancy,Focused on academics as well as on Job,5 to 10 LPA,Management Person,Hybrid work culture,"Study, Job and Settle down","chill job, worklife balance","Yes, I love teaching others",Introvert and Nerd,"Yes, Interested",Already in a  relationship,Product Manager,Consultant,College Professor
18-22,Male,Urban,White collar,5 - 10 Lakh,Degree,Semi-English,State board,Elite,Science and Technology / Engineering,Tier 3 colleges,CS / IT,Cloud / Administrator roles / Devops,good at programming,Cloud / Administrator roles / Devops,"Yes, I have done necessary professional certifications",Yes,1 to 2 years,"Yes, but need some financing","Depends upon the country, university and scores",USA and North America,Searching consistently,Government Job,Product based,Focused on academics as well as on Job,8 to 15 LPA,Management Person,Hybrid work culture,"Study, Higher study, Get a lucrative Job",9 to 5 job with worklife balance,Nope,Extrovert and Public person,Not interested but need to get involved sometimes,"Focused on work right now, would look for building relationships later",System Administrator,Cloud Engineer,DevOps
18-22,Male,Rural,Worker class,Below 2 Lakh,12th,English Medium,CBSE,kind of average,Science and Technology / Engineering,Tier 3 colleges,Mechanical / Civil / Robotics / Biotech,AI ML / Datascience,good at programming,AI / ML / Datascience,"Nope, have not started yet",Nope,"Nope, just studying","Yes, but need some financing","Want to, but need financial assistance",USA and North America,Searching consistently,Private Job,Service based / Consultancy,"Not much bothered about academics, but need a degree, also want to do my side hustle",5 to 10 LPA,Technical Person,Hybrid work culture,"Study, Higher study, Get a lucrative Job","chill job, worklife balance",Nope,Introvert and Nerd,"Yes, Interested","Work is my life ! Stay single, stay rich, stay independent!",Data Analyst,Machine Learning Engineer,Business Operational Analyst
18-22,Male,Urban,Agriculture,Below 2 Lakh,Degree,English Medium,State board,kind of average,Science and Technology / Engineering,Tier 3 colleges,CS / IT,Cyber Security and Ethical Hacking,good at programming,Backend development,"Yes, a few","Not yet, but I keep on Applying","Nope, just studying","kind of Confused, not sure","Want to, but need financial assistance",USA and North America,Not yet,Startup / Business,Service based / Consultancy,Focused on academics as well as on Job,8 to 15 LPA,Management Person,Work from Office,"Study, Parallely do side hustle, and build something of my owm",9 to 5 job with worklife balance,Nope,Introvert and Nerd,"Yes, Interested","Work is my life ! Stay single, stay rich, stay independent!",System Engineer,Backend Engineer,Cyber Security
18-22,Male,Urban,Worker class,Below 2 Lakh,12th,English Medium,CBSE,Good score,Science and Technology / Engineering,Tier 3 colleges,CS / IT,Front-end,good at programming,App development (full stack),"Yes, a few",Yes,"Nope, just studying","Nope, no such plan as of now",No such plan as of now,UK / Germnany or some Europian country,Not yet,Private Job,Product based,"Not much bothered about academics, but need a degree, also want to do my side hustle",8 to 15 LPA,Technical Person,Work from Office,"Study, Parallely do side hustle, and build something of my owm",Workholic and haunted for my mission,"Yes, I love teaching others",Extrovert and Public person,Not interested but need to get involved sometimes,"Work is my life ! Stay single, stay rich, stay independent!",Mobile Application developer,UI UX Engineer,Full-stack
22 and above,Male,Urban,White collar,2 - 5 Lakh,Degree,English Medium,State board,Good score,Science and Technology / Engineering,Tier 3 colleges,CS / IT,AI ML / Datascience,good at programming,AI / ML / Datascience,"Yes, a few",Yes,Internships only,"Yes, but need some financing","Want to, but need financial assistance",USA and North America,Not yet,Private Job,Product based,Focused on academics as well as on Job,3 to 5 LPA,Technical Person,Hybrid work culture,"Study, Job and Settle down","chill job, worklife balance","Yes, I love teaching others",Ambivert,"Oh Yes, I like to talk about and take care of my money things !","Focused on work right now, would look for building relationships later",Machine Learning Engineer,Data Engineer,DevOps
18-22,Male,Urban,Worker class,2 - 5 Lakh,Degree,English Medium,CBSE,Elite,Science and Technology / Engineering,Tier 3 colleges,CS / IT,Cloud / Administrator roles / Devops,good at programming,Cloud / Administrator roles / Devops,"Yes, a few","Not yet, but I keep on Applying",Only college projects and hackathons,"Nope, no such plan as of now",No such plan as of now,,,Private Job,MAANG,Focused on academics as well as on Job,8 to 15 LPA,Technical Person,Work from Office,"Study, Job and Settle down",9 to 5 job with worklife balance,May be,Ambivert,"Yes, Interested","Focused on work right now, would look for building relationships later",DevOps,Cloud Engineer,Backend Engineer
18-22,Female,Urban,Business / Freelance,2 - 5 Lakh,12th,English Medium,CBSE,Elite,Science and Technology / Engineering,Tier 3 colleges,CS / IT,AI ML / Datascience,good at programming,AI / ML / Datascience,"Yes, a few",Yes,Internships only,"Nope, no such plan as of now","Depends upon the country, university and scores",USA and North America,Not yet,Private Job,Product based,Focused on academics as well as on Job,5 to 10 LPA,Technical Person,Hybrid work culture,"Study, Job and Settle down","chill job, worklife balance",May be,Ambivert,,"Focused on work right now, would look for building relationships later",Machine Learning Engineer,Data Analyst,Data Engineer
18-22,Male,Rural,Worker class,2 - 5 Lakh,12th,Semi-English,State board,kind of average,Science and Technology / Engineering,Tier 3 colleges,Electrical / Etx,AI ML / Datascience,good at programming,Cloud / Administrator roles / Devops,"Yes, a few",Yes,Internships only,"Yes, but need some financing",Definitely Yes,USA and North America,Not yet,Government Job,Product based,"Not much bothered about academics, but need a degree, also want to do my side hustle",15 LPA +,Management Person,Work from Office,"Study, Parallely do side hustle, and build something of my owm",Workholic and haunted for my mission,,Ambivert,,Already in a  relationship,System Engineer,System Administrator,DevOps
18-22,Male,Urban,White collar,5 - 10 Lakh,12th,English Medium,CBSE,Good score,Science and Technology / Engineering,Tier 3 colleges,CS / IT,AI ML / Datascience,good at programming,AI / ML / Datascience,"No professional certifications yet, but I have referred a lot of Open-Source and free materials","Not yet, but I keep on Applying",Only college projects and hackathons,"Yes, but need some financing",Definitely Yes,USA and North America,Not yet,Private Job,Service based / Consultancy,Focused on academics as well as on Job,8 to 15 LPA,Technical Person,Hybrid work culture,"Study, Higher study, Get a lucrative Job",9 to 5 job with worklife balance,,Ambivert,,"Focused on work right now, would look for building relationships later",ML Engineer,Specialist Programmer,Data Engineer
